@relation 'nyc_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-4'

@attribute room_type {'Hotel room','Private room','Entire home/apt','Shared room'}
@attribute number_of_reviews numeric
@attribute days_since_last_review numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Private room',63,1410,0.47,1,162,0,0.19851,7.808568,5.486395,75
'Entire home/apt',232,70,1.73,1,283,18,0.051508,5.417044,5.139736,190
'Entire home/apt',516,71,3.77,3,255,60,0.188926,7.242655,2.108309,459
'Entire home/apt',11,71,0.08,2,350,10,0.024869,7.719411,2.651014,568
'Private room',3,2931,0.02,1,0,0,0.177122,5.27496,3.043474,85
'Entire home/apt',56,801,0.4,1,0,0,0.15126,6.30942,3.753201,85
'Entire home/apt',25,3993,0.17,1,0,0,0.270513,7.147986,2.331617,100
'Entire home/apt',3,3025,0.02,1,221,0,0.125571,9.818231,6.152775,260
'Entire home/apt',21,1918,0.14,1,250,0,0.278849,4.046153,2.538983,150
'Private room',70,214,0.48,5,262,3,0.105668,7.957431,5.420375,80
'Private room',325,76,2.18,1,251,39,0.11323,8.192739,5.31416,89
'Entire home/apt',162,142,1.14,2,82,4,0.182318,6.303301,4.015837,106
'Entire home/apt',69,77,1.12,3,212,22,0.873833,4.725032,7.966322,123
'Private room',20,1413,0.17,1,244,0,0.149297,5.266529,5.409689,75
'Entire home/apt',118,255,0.79,2,304,2,0.064915,7.467504,2.424558,185
'Private room',68,410,0.46,4,254,1,0.164709,6.15633,0.636534,171
'Private room',81,149,0.85,1,41,7,0.249381,6.789481,0.486295,62
'Entire home/apt',68,968,0.53,1,218,0,0.091018,9.388303,5.379478,190
'Private room',145,76,1.06,1,26,5,0.234361,6.14401,0.950354,68
'Entire home/apt',144,82,1.6,1,49,32,0.24949,7.155901,2.244886,368
