neighbourhood_group,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
NA,"North Michigan Park, Michigan Park, University Heights",38.94858,-76.99163,Private room,78,1.08,3,360,17,67,0.62004756,7.11644367,3.776478487,70
NA,"Georgetown, Burleith/Hillandale",38.90912,-77.05487,Entire home/apt,97,1.29,1,0,5,204,0.626250826,4.044567422,0.990065564,195
NA,"Capitol Hill, Lincoln Park",38.87772,-76.985,Entire home/apt,331,2.67,1,282,36,52,0.246524769,3.376928985,3.488226851,133
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9316,-77.02438,Private room,16,0.15,1,365,0,2589,0.406223027,5.533479609,1.8170875,120
NA,"Shaw, Logan Circle",38.9136,-77.02838,Entire home/apt,64,0.61,1,163,2,117,0.240178523,4.273883045,0.641415744,125
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93441,-77.02773,Entire home/apt,463,4.21,2,172,57,49,0.313135948,5.705402918,1.943103488,151
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9244,-77.03576,Entire home/apt,58,0.57,6,88,9,91,0.295232833,4.98982093,1.188431132,149
NA,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92462,-77.03426,Entire home/apt,143,1.47,6,267,16,128,0.24127375,5.007397668,1.210592175,197
NA,"Union Station, Stanton Park, Kingman Park",38.89538,-76.98648,Entire home/apt,875,6.95,1,329,41,51,0.787464928,4.091238159,2.871202768,104
NA,"Union Station, Stanton Park, Kingman Park",38.90179,-76.99127,Entire home/apt,48,0.44,1,195,19,52,0.736345105,4.263936741,2.519208094,284
NA,"Howard University, Le Droit Park, Cardozo/Shaw",38.91454,-77.01814,Private room,32,0.29,4,349,1,141,0.218547916,4.438714767,1.142665317,80
NA,"Capitol Hill, Lincoln Park",38.88745,-76.99293,Entire home/apt,30,0.28,1,257,1,60,0.25694248,3.4531071,2.760569822,145
