host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
f,1,1,t,t,Logan Square,41.92708,-87.71212,Private room,2,1,1,2,1125,t,1,1,2,3,145,0,0,4.99,4.98,4.99,4.99,4.99,4.94,4.89,f,1,0,1,0,1.29,0.270043757,9.979970502,5.623513824,110
t,1,1,t,t,Lincoln Park,41.91215,-87.64006,Entire home/apt,2,1,1,2,28,t,5,17,32,109,400,50,4,4.93,4.94,4.88,4.98,4.97,4.98,4.91,f,1,1,0,0,3.48,0.117730905,10.64856706,2.41531258,125
f,1,1,t,t,East Garfield Park,41.88538,-87.69801,Private room,2,1,1,5,1125,t,23,53,83,358,23,0,0,4.91,4.82,4.86,5,4.95,4.32,4.77,f,1,0,1,0,0.2,0.089645502,7.472781797,3.757989173,136
f,1,1,t,t,West Town,41.9055,-87.66685,Private room,2,1,1,32,60,t,0,0,0,0,133,0,0,4.84,4.95,4.86,4.87,4.92,4.86,4.8,f,1,0,1,0,1.15,0.117151514,9.476785302,2.768865137,50
t,23,23,t,t,West Town,41.89602,-87.65659,Entire home/apt,6,3,3,1,1125,t,21,39,69,343,361,42,3,4.94,4.96,4.98,4.99,5,4.81,4.85,f,19,19,0,0,3.19,0.053934314,9.21941089,1.915325963,262
f,1,4,t,t,Near West Side,41.86801,-87.67877,Entire home/apt,5,2,2,32,50,t,0,6,24,104,41,1,0,4.74,4.78,4.65,4.93,4.93,4.25,4.8,f,1,1,0,0,0.35,0.541299187,6.941531706,2.762917226,157
t,4,4,t,t,Rogers Park,42.00588,-87.66853,Private room,2,1,1,2,90,t,16,42,66,341,262,39,6,4.97,4.97,4.97,4.98,4.97,4.93,4.95,t,4,1,3,0,2.28,0.203153836,13.03694567,9.066867892,89
t,4,4,t,t,Rogers Park,42.00477,-87.66842,Private room,2,1,1,2,90,t,15,42,66,341,294,37,6,4.97,4.98,4.98,4.99,4.99,4.85,4.93,t,4,1,3,0,2.58,0.260617852,13.03205584,8.99099737,79
t,4,4,t,t,Rogers Park,42.00378,-87.66807,Private room,2,1,2,2,90,t,22,52,76,351,277,30,5,4.92,4.94,4.95,4.97,4.97,4.8,4.95,t,4,1,3,0,2.41,0.313495839,13.0417059,8.920111112,79
t,4,4,t,t,Rogers Park,42.00456,-87.67058,Entire home/apt,4,2,3,2,90,t,16,36,60,326,224,29,5,4.94,4.95,4.96,4.98,4.99,4.88,4.89,t,4,1,3,0,1.98,0.346828069,12.91324987,9.005344672,179
