id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,days_since_last_review,
5.48549E+17,"3 Bedroom Logan Square, laundry, yard 🌸💗",2630113,Nikkole,,Logan Square,41.91371,-87.70776,Entire home/apt,10000,50,1,3/11/2022,0.16,5,45,1,R22000077559,222,
5.48606E+17,Magical Elf Quarters,211128274,Kristina,,Avondale,41.94042,-87.71541,Entire home/apt,119,1,35,9/11/2022,4.59,1,20,35,R21000075584,38,
5.48626E+17,Sonder South Wabash | One-Bedroom Apartment w/ City View,435105119,Sonder (Chicago),,Near South Side,41.86464,-87.62683,Entire home/apt,221,2,8,8/28/2022,0.39,34,226,6,2694320,52,
5.49068E+17,Fort Washington Celadon Room 1 Block from CTA,22608682,Ryan,,East Garfield Park,41.88388241,-87.70899805,Private room,85,1,0,,,10,355,0,R21000074599,-1,
5.49108E+17,"Lincoln Park 1BR w/ Lounge, Roof & Gym, nr DePaul",107434423,Blueground,,Lincoln Park,41.9194968,-87.6629995,Entire home/apt,141,32,0,,,525,331,0,,-1,
5.49109E+17,"Lincoln Park 1BR w/ Lounge, Roof & Gym, nr DePaul",107434423,Blueground,,Lincoln Park,41.9194968,-87.6629995,Entire home/apt,140,32,0,,,525,315,0,,-1,
5.49111E+17,"Lincoln Park 2BR w/ Lounge, Roof & Gym, nr DePaul",107434423,Blueground,,Lincoln Park,41.9194968,-87.6629995,Entire home/apt,203,32,0,,,525,354,0,,-1,
5.49111E+17,"Lincoln Park Studio w/ Lounge & Gym, nr DePaul",107434423,Blueground,,Lincoln Park,41.9194968,-87.6629995,Entire home/apt,118,32,0,,,525,277,0,,-1,
5.49226E+17,1910 Beautiful Restoration! Walk to Beach!,5608501,Christi,,Edgewater,41.99815,-87.66264,Entire home/apt,256,2,12,9/11/2022,3.56,1,295,12,R22000081993,38,
5.49282E+17,Sonder at Library Lofts | One-Bedroom Apartment,435105119,Sonder (Chicago),,Loop,41.87283,-87.63114,Entire home/apt,340,3,85,8/26/2022,2.42,34,2,44,2703981,54,
5.50133E+17,Family friendly 2 bedroom w/ private office,68949100,Samantha,,Logan Square,41.91596,-87.7052,Entire home/apt,161,1,30,9/11/2022,5.39,1,155,30,R22000079896,38,
5.50551E+17,West Loop Townhome with Private Access & Amenities,396270947,Jennifer,,Near West Side,41.88043,-87.65055,Entire home/apt,349,32,0,,,36,319,0,,-1,
5.50852E+17,Beautiful 2 bed boat with amazing city views!!,393751432,Mike,,Douglas,41.83941,-87.60749,Entire home/apt,400,120,0,,,2,365,0,,-1,
5.51255E+17,Gorgeous 1 Bed with Skyline Views and Balcony,396270947,Jennifer,,Near North Side,41.89219,-87.62807,Entire home/apt,189,32,0,,,36,353,0,,-1,
5.51376E+17,The Beverly Gem,25947013,Mar,,Beverly,41.7088,-87.6613,Entire home/apt,80,2,19,8/26/2022,3.06,1,143,19,R22000077910,54,
5.51712E+17,Private room in quiet neighborhood,66889487,Eduardo,,East Side,41.71891,-87.53741,Private room,54,1,16,9/12/2022,2.3,3,356,16,R22000076584,37,
5.5189E+17,Traveling/Working Professional’s OASIS.,437757673,Matthew,,Irving Park,41.95858,-87.71505,Entire home/apt,181,1,19,9/11/2022,2.95,1,80,19,R22000078286,38,
5.52103E+17,Luxury Living Downtown Modern Two Bed Two Bath,391945218,Matt,,Near North Side,41.89232,-87.62126,Entire home/apt,496,32,0,,,23,34,0,,-1,
5.52185E+17,"💥IN THE ACTION!💥 2 Bed, 2 Bath on Northalsted!",10812357,Allan,,Lake View,41.94192,-87.64874,Entire home/apt,515,3,32,8/26/2022,4.85,1,121,32,R22000077934,54,
5.52189E+17,"Lincoln Park 2BR w/ Lounge, Roof & Gym, nr DePaul",107434423,Blueground,,Lincoln Park,41.9194968,-87.6629995,Entire home/apt,190,32,0,,,525,302,0,,-1,
