host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_since_last_review,dist_from_subway_in_miles,dist_from_airport_in_miles,dist_from_city_center,price
FALSE,201,253,TRUE,TRUE,"Dupont Circle, Connecticut Avenue/K Street",38.91173,-77.03802,Entire home/apt,2,1,1,31,365,TRUE,28,54,84,359,2,1,1,4.5,5,5,5,4.5,5,4.5,FALSE,156,150,5,0,0.12,1921,0.321388,4.114506,0.318157,108
FALSE,5,14,TRUE,TRUE,"Congress Heights, Bellevue, Washington Highlands",38.82462,-76.99695,Private room,1,1,2,31,32,TRUE,30,60,90,90,2,1,0,4.5,4,5,5,5,3.5,5,TRUE,3,0,3,0,0.12,144,1.519408,2.873866,6.078701,44
FALSE,1,1,TRUE,TRUE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92651,-77.03434,Entire home/apt,4,2,2,31,1125,TRUE,0,0,0,257,1,1,0,5,5,5,5,5,5,5,FALSE,1,1,0,0,0.12,959,0.132102,5.137372,1.33928,128
FALSE,35,158,TRUE,TRUE,"Georgetown, Burleith/Hillandale",38.90787,-77.05779,Entire home/apt,5,3,3,31,1125,TRUE,0,0,0,0,1,1,0,5,5,5,5,5,5,5,FALSE,32,32,0,0,0.12,72,0.634657,3.992766,1.108135,316
FALSE,35,158,TRUE,TRUE,"Friendship Heights, American University Park, Tenleytown",38.956799,-77.081337,Entire home/apt,6,3,4,31,1125,TRUE,8,8,8,82,1,1,0,5,5,5,5,5,5,5,TRUE,32,32,0,0,0.12,69,0.268646,7.585454,4.154411,267
FALSE,4,7,TRUE,FALSE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93164,-77.02089,Entire home/apt,10,3,2,32,360,TRUE,0,0,0,117,1,1,0,4,5,5,5,5,5,5,TRUE,1,1,0,0,0.12,92,0.422957,5.560078,1.887806,226
FALSE,1,2,TRUE,FALSE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93306,-77.0241,Entire home/apt,6,3,3,31,365,TRUE,30,60,90,364,1,1,0,2,2,2,3,3,4,3,FALSE,1,1,0,0,0.12,41,0.304265,5.632531,1.908951,110
TRUE,3,7,TRUE,TRUE,"Cathedral Heights, McLean Gardens, Glover Park",38.93064,-77.0777,Entire home/apt,4,1,2,31,1125,TRUE,0,0,0,80,1,1,0,5,5,5,5,5,5,5,FALSE,3,1,0,2,0.12,38,1.080011,5.819231,2.700338,55
FALSE,1,3,TRUE,FALSE,"Union Station, Stanton Park, Kingman Park",38.90029,-76.98546,Private room,2,1,1,31,365,TRUE,0,0,0,0,1,1,0,5,5,5,5,5,5,5,FALSE,1,0,1,0,0.12,66,1.036268,4.32681,2.767697,188
FALSE,1,2,TRUE,TRUE,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93346,-77.03116,Private room,2,1,1,31,90,TRUE,10,40,70,345,1,1,0,5,5,5,5,5,5,5,TRUE,1,0,1,0,0.12,-1,0.394369,5.624521,1.837301,70
FALSE,1,1,TRUE,TRUE,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.97782,-77.00108,Private room,2,1,1,1,1125,TRUE,0,0,0,256,10,0,0,5,4.9,5,5,5,4.9,5,FALSE,1,0,1,0,0.12,165,0.914107,8.889117,5.229544,60
FALSE,1,1,TRUE,TRUE,"Congress Heights, Bellevue, Washington Highlands",38.81623,-76.99623,Private room,2,1,1,31,1125,TRUE,30,60,90,180,5,0,0,3.2,3.6,3,3.4,4,3,3,FALSE,1,0,1,0,0.12,94,2.050016,3.309967,6.636722,32
