@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',0,13,6,1,0.13,951,0.556114,4.752757,0.952772,95
'Private room',278,11,0,46,0.13,53,0.436609,4.669584,1.334763,37
'Entire home/apt',83,10,2,17,0.13,38,0.13908,3.269269,1.179982,436
'Entire home/apt',82,10,0,17,0.13,48,0.057318,3.283021,1.27714,445
'Entire home/apt',365,10,2,1,0.13,38,0.152552,2.745275,2.387861,150
'Private room',0,8,0,1,0.13,1092,0.350429,3.682086,2.029393,72
'Entire home/apt',0,9,0,1,0.13,779,0.29474,3.773328,0.031865,133
'Private room',178,8,3,2,0.13,240,0.546415,9.31943,5.517329,75
'Entire home/apt',0,9,0,1,0.13,44,0.186455,3.564768,0.682158,60
'Entire home/apt',58,2,0,1,0.13,42,1.258249,7.167351,3.388564,90
'Entire home/apt',0,8,0,1,0.13,118,0.483845,3.903037,0.820756,99
'Private room',256,1,1,1,0.13,160,0.548386,9.022572,5.235298,54
'Entire home/apt',120,6,1,5,0.13,80,0.328248,3.147034,0.838766,80
'Entire home/apt',0,7,0,1,0.13,68,0.805836,7.81157,4.054072,115
'Shared room',79,6,4,33,0.13,207,0.291305,3.130804,3.188407,29
'Entire home/apt',179,7,1,1,0.13,38,0.857471,4.504072,2.642411,112
'Entire home/apt',0,7,3,3,0.13,1232,0.727142,3.922225,2.787037,95
'Entire home/apt',365,6,3,2,0.13,75,0.140724,5.099813,1.305556,225
'Entire home/apt',0,6,0,1,0.13,206,0.18147,5.053203,1.266449,65
'Entire home/apt',66,6,4,1,0.13,1433,0.510967,4.352757,0.550629,150
'Private room',0,6,0,7,0.13,38,0.721614,3.045589,3.770257,20
'Entire home/apt',255,5,1,2,0.13,74,0.376488,4.892067,1.174503,158
'Entire home/apt',326,5,2,157,0.13,525,0.031446,2.415061,2.738909,105
'Entire home/apt',0,5,0,1,0.13,176,0.478786,8.280313,4.494859,80
'Entire home/apt',365,5,0,1,0.13,2730,0.331885,5.001937,1.258922,379
'Entire home/apt',272,4,1,157,0.13,-1,0.353482,4.280411,0.71635,102
'Entire home/apt',335,3,2,157,0.13,103,0.331718,4.27144,0.689863,115
'Entire home/apt',179,5,0,1,0.13,50,0.259656,2.643967,2.817365,200
'Entire home/apt',269,2,1,157,0.13,116,0.250145,4.105638,0.67318,118
'Entire home/apt',356,1,1,29,0.13,189,0.102028,3.308033,0.540986,294
'Entire home/apt',299,3,2,157,0.13,46,0.262614,4.276,0.578788,118
'Entire home/apt',196,4,1,157,0.13,51,0.20243,2.418673,2.506879,134
'Entire home/apt',100,3,1,157,0.13,831,0.21707,3.457201,1.033676,130
'Entire home/apt',322,2,1,157,0.13,61,0.344845,3.40551,1.174392,90
'Private room',191,3,1,46,0.13,2245,0.72979,4.756239,1.644424,32
'Entire home/apt',365,1,1,156,0.13,104,0.217816,3.020596,2.822426,142
