@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Georgetown, Burleith/Hillandale',38.91012,-77.06565,'Entire home/apt',204,198,53,1,3.99,73,1.014265,4.268714,1.537013,175
'Union Station, Stanton Park, Kingman Park',38.89839,-76.99924,'Entire home/apt',178,144,53,1,3.99,36,0.435439,3.788937,2.086496,106
'Howard University, Le Droit Park, Cardozo/Shaw',38.91785,-77.01498,'Private room',250,18,3,46,0.26,951,0.475167,4.693796,1.37466,35
'Mayfair, Hillbrook, Mahaning Heights',38.90038,-76.94362,'Private room',364,27,21,3,0.26,275,0.184823,5.996557,4.966186,46
'Brightwood Park, Crestwood, Petworth',38.94645,-77.01703,'Entire home/apt',287,22,4,1,0.26,298,0.708903,6.601655,2.905797,110
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92717,-77.0334,'Entire home/apt',365,22,2,2,0.26,140,0.064673,5.184834,1.39036,135
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91793,-77.04301,'Private room',169,20,5,3,0.26,59,0.574771,4.55099,0.808093,67
'Eastland Gardens, Kenilworth',38.90733,-76.94565,'Private room',365,17,3,16,0.26,555,0.553881,6.190509,4.836258,45
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93431,-77.03882,'Entire home/apt',111,4,0,1,0.26,-1,0.556075,5.672802,1.873356,200
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.92005,-77.01174,'Entire home/apt',324,19,2,1,0.26,1125,0.704256,4.886216,1.601349,174
'Union Station, Stanton Park, Kingman Park',38.9045,-77.00221,'Entire home/apt',0,17,2,3,0.26,161,0.179404,4.075538,1.847985,207
'Capitol Hill, Lincoln Park',38.87752,-76.98912,'Hotel room',349,14,5,33,0.26,123,0.322256,3.115271,3.256796,29
'Capitol Hill, Lincoln Park',38.88993,-76.99099,'Entire home/apt',0,14,0,1,0.26,290,0.452035,3.597425,2.709352,140
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91862,-77.04154,'Entire home/apt',364,14,0,10,0.26,323,0.629879,4.594397,0.825463,192
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.9068,-76.93496,'Private room',287,13,5,5,0.26,101,0.096958,6.625257,5.40289,67
'Brookland, Brentwood, Langdon',38.92157,-76.97284,'Private room',0,12,0,3,0.26,410,1.224748,5.898545,3.537001,29
'Dupont Circle, Connecticut Avenue/K Street',38.91171,-77.04559,'Private room',269,11,6,12,0.26,37,0.18533,4.134309,0.555845,200
'Brightwood Park, Crestwood, Petworth',38.93772,-77.02506,'Private room',328,9,4,46,0.26,38,0.086771,5.945624,2.197388,39
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90652,-76.98252,'Entire home/apt',83,10,5,1,0.26,58,1.087201,4.759399,2.882522,90
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92464,-77.04281,'Entire home/apt',297,3,3,157,0.26,202,0.510305,5.01259,1.243458,99
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93348,-77.04546,'Entire home/apt',0,6,0,1,0.26,269,0.672915,5.630273,1.869212,85
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92265,-77.02732,'Entire home/apt',258,9,0,1,0.26,145,0.389261,4.89892,1.180789,150
'Union Station, Stanton Park, Kingman Park',38.8938,-76.99477,'Entire home/apt',179,7,2,1,0.26,919,0.636094,3.668116,2.41675,249
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90356,-76.9915,'Entire home/apt',0,6,0,1,0.26,131,0.655812,4.313075,2.419273,84
'Howard University, Le Droit Park, Cardozo/Shaw',38.91692,-77.02831,'Entire home/apt',297,5,2,156,0.26,1569,0.043474,4.500165,0.810606,111
'Congress Heights, Bellevue, Washington Highlands',38.83093,-77.00084,'Entire home/apt',365,1,1,4,0.26,54,1.208526,2.439177,5.598918,297
'Shaw, Logan Circle',38.90994,-77.01737,'Entire home/apt',249,1,1,10,0.26,391,0.340936,4.133812,1.052214,84
