@relation 'dc_listings - full-weka.filters.unsupervised.attribute.Remove-R1-5,10-18,22-30,32-34-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_cleansed {'Historic Anacostia','Cathedral Heights, McLean Gardens, Glover Park','Edgewood, Bloomingdale, Truxton Circle, Eckington','Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View','River Terrace, Benning, Greenway, Dupont Park','Fairfax Village, Naylor Gardens, Hillcrest, Summit Park','Near Southeast, Navy Yard','Dupont Circle, Connecticut Avenue/K Street','Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill','Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir','Takoma, Brightwood, Manor Park','Friendship Heights, American University Park, Tenleytown','Brightwood Park, Crestwood, Petworth','Colonial Village, Shepherd Park, North Portal Estates','Georgetown, Burleith/Hillandale','Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace','Capitol Hill, Lincoln Park','Ivy City, Arboretum, Trinidad, Carver Langston','Shaw, Logan Circle','Union Station, Stanton Park, Kingman Park','Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street','Howard University, Le Droit Park, Cardozo/Shaw','Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights','North Michigan Park, Michigan Park, University Heights','North Cleveland Park, Forest Hills, Van Ness','Douglas, Shipley Terrace','West End, Foggy Bottom, GWU','Congress Heights, Bellevue, Washington Highlands','Kalorama Heights, Adams Morgan, Lanier Heights','Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point','Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont','Woodridge, Fort Lincoln, Gateway','Mayfair, Hillbrook, Mahaning Heights','Eastland Gardens, Kenilworth','Brookland, Brentwood, Langdon','Capitol View, Marshall Heights, Benning Heights','Hawthorne, Barnaby Woods, Chevy Chase','Woodland/Fort Stanton, Garfield Heights, Knox Hill','Sheridan, Barry Farm, Buena Vista'}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Hotel room','Shared room'}
@attribute availability_365 numeric
@attribute number_of_reviews numeric
@attribute number_of_reviews_ltm numeric
@attribute calculated_host_listings_count numeric
@attribute reviews_per_month numeric
@attribute days_since_last_review numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Georgetown, Burleith/Hillandale',38.89444,-77.07106,'Entire home/apt',365,1,1,1,0.26,53,0.107027,3.414908,2.013209,120
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.90749,-77.11718,'Entire home/apt',323,1,1,20,0.26,52,1.758538,5.687969,4.254887,841
'Capitol View, Marshall Heights, Benning Heights',38.8731,-76.90517,'Entire home/apt',91,1,1,1,0.26,67,1.109688,4.751066,7.367505,80
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89183,-76.90021,'Entire home/apt',292,9,2,2,0.26,204,0.476561,5.861694,7.321784,111
'Georgetown, Burleith/Hillandale',38.89274,-77.0686,'Entire home/apt',173,11,0,1,0.26,52,0.25533,3.247444,1.954027,69
'Takoma, Brightwood, Manor Park',38.97933,-77.01285,'Entire home/apt',152,17,2,1,0.26,2589,0.360365,8.877092,5.137603,700
'Hawthorne, Barnaby Woods, Chevy Chase',38.98479,-77.08683,'Entire home/apt',365,4,2,5,0.26,117,0.387907,9.518732,5.972023,135
'Douglas, Shipley Terrace',38.8491,-76.97982,'Private room',299,22,3,4,0.24,49,0.51816,3.074457,5.022286,65
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.96885,-77.00968,'Private room',206,13,5,2,0.24,91,0.672465,8.191461,4.491827,22
'Howard University, Le Droit Park, Cardozo/Shaw',38.91767,-77.01549,'Private room',209,17,2,46,0.24,128,0.446452,4.674914,1.345183,35
'Brookland, Brentwood, Langdon',38.92153,-76.98008,'Entire home/apt',46,22,3,1,0.24,51,0.841143,5.681163,3.16963,75
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91801,-77.04049,'Entire home/apt',0,19,0,1,0.24,52,0.600273,4.550199,0.769776,99
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91553,-77.04742,'Entire home/apt',0,15,0,1,0.24,141,0.460553,4.406903,0.800771,105
'Brightwood Park, Crestwood, Petworth',38.94135,-77.01728,'Entire home/apt',203,16,0,1,0.24,60,0.42437,6.252598,2.575596,52
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93212,-77.04071,'Entire home/apt',0,15,0,1,0.24,67,0.523274,5.523689,1.731296,155
'Union Station, Stanton Park, Kingman Park',38.89242,-77.00117,'Entire home/apt',0,15,0,2,0.24,35,0.496058,3.389365,2.150836,300
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.91997,-77.03452,'Entire home/apt',0,17,0,1,0.24,51,0.42451,4.686056,0.890113,80
'Brookland, Brentwood, Langdon',38.93345,-76.99167,'Entire home/apt',349,16,0,1,0.24,157,0.152763,6.120317,3.004521,90
'Woodridge, Fort Lincoln, Gateway',38.9293,-76.9654,'Entire home/apt',0,10,0,1,0.24,163,1.567732,6.561786,4.084805,69
'Colonial Village, Shepherd Park, North Portal Estates',38.98558,-77.03458,'Private room',178,15,4,2,0.24,85,0.608039,9.211601,5.409618,70
'Mayfair, Hillbrook, Mahaning Heights',38.89915,-76.94599,'Private room',341,16,0,12,0.24,2911,0.040421,5.844965,4.850141,40
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.9702,-77.01131,'Private room',0,14,0,2,0.24,870,0.545436,8.268035,4.553666,69
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90508,-77.0281,'Private room',268,14,6,6,0.24,35,0.340975,3.690836,0.488801,59
'Near Southeast, Navy Yard',38.87856,-77.00041,'Private room',176,13,6,2,0.24,61,0.286168,2.69049,2.76504,109
'Capitol Hill, Lincoln Park',38.87746,-76.9877,'Shared room',341,13,3,33,0.24,963,0.287706,3.175468,3.318212,29
'Brightwood Park, Crestwood, Petworth',38.95184,-77.02317,'Entire home/apt',89,13,1,1,0.24,206,0.993555,6.924994,3.164952,1500
'Howard University, Le Droit Park, Cardozo/Shaw',38.91528,-77.03371,'Private room',0,12,0,2,0.24,2235,0.350203,4.364538,0.582592,62
'Dupont Circle, Connecticut Avenue/K Street',38.91771,-77.03653,'Entire home/apt',283,9,1,33,0.24,1280,0.481116,4.527512,0.725455,70
'Union Station, Stanton Park, Kingman Park',38.89346,-76.99885,'Entire home/apt',341,9,3,33,0.24,43,0.542899,3.51901,2.228384,60
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92684,-77.03029,'Shared room',179,9,2,18,0.24,48,0.138634,5.17198,1.399711,48
'Dupont Circle, Connecticut Avenue/K Street',38.90475,-77.04658,'Private room',326,8,0,14,0.24,36,0.341065,3.66323,0.540174,362
'Dupont Circle, Connecticut Avenue/K Street',38.90481,-77.04759,'Private room',362,6,0,10,0.24,60,0.317054,3.674591,0.590082,322
'Shaw, Logan Circle',38.91166,-77.02268,'Entire home/apt',0,8,0,1,0.24,123,0.132285,4.186,0.814068,249
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91669,-77.0458,'Private room',317,6,4,6,0.24,221,0.504864,4.477354,0.807017,255
'Takoma, Brightwood, Manor Park',38.97433,-77.02575,'Entire home/apt',225,5,0,1,0.24,106,0.419164,8.457606,4.669515,85
'West End, Foggy Bottom, GWU',38.90116,-77.05625,'Entire home/apt',299,3,2,157,0.24,53,0.317957,3.525063,1.106997,86
'Georgetown, Burleith/Hillandale',38.91122,-77.06081,'Entire home/apt',157,4,2,32,0.24,158,0.915306,4.25924,1.297232,267
'Eastland Gardens, Kenilworth',38.90734,-76.94517,'Private room',182,6,1,16,0.24,50,0.528517,6.211001,4.8617,40
'Takoma, Brightwood, Manor Park',38.96795,-77.02482,'Entire home/apt',83,5,0,8,0.24,73,0.662618,8.022731,4.240363,190
'Dupont Circle, Connecticut Avenue/K Street',38.91129,-77.03767,'Entire home/apt',204,5,3,1,0.24,171,0.325988,4.08411,0.285145,300
'Brookland, Brentwood, Langdon',38.92217,-76.9932,'Entire home/apt',365,3,2,1,0.24,-1,0.163901,5.379345,2.535994,675
'Dupont Circle, Connecticut Avenue/K Street',38.91329,-77.04338,'Entire home/apt',341,3,2,156,0.24,2070,0.254214,4.23284,0.542704,103
'North Michigan Park, Michigan Park, University Heights',38.949898,-76.996147,'Entire home/apt',317,3,2,1,0.24,132,0.34832,7.098296,3.653091,120
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92565,-77.04001,'Entire home/apt',89,3,2,1,0.24,408,0.423196,5.07643,1.283676,120
'Eastland Gardens, Kenilworth',38.90407,-76.9429,'Private room',318,3,2,2,0.24,67,0.39319,6.172673,4.986679,34
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.931072,-77.029434,'Entire home/apt',271,1,1,13,0.24,65,0.27732,5.466638,1.69403,135
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90595,-76.97652,'Entire home/apt',286,1,1,2,0.24,1481,1.327431,4.931439,3.201302,40
'Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point',38.86995,-77.01105,'Private room',156,1,1,15,0.24,47,0.550831,1.873907,2.912597,551
'Douglas, Shipley Terrace',38.84674,-76.98495,'Entire home/apt',147,12,11,1,0.24,387,0.202932,2.819949,4.998435,260
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89468,-76.90151,'Private room',331,19,0,12,0.24,920,0.653513,6.069962,7.227484,38
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88827,-77.08352,'Entire home/apt',136,2,2,156,0.24,159,0.232611,3.482364,2.794858,290
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88794,-77.08446,'Entire home/apt',46,4,1,3,0.24,69,0.209852,3.50117,2.849545,179
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.89486,-76.90172,'Private room',222,20,2,12,0.24,52,0.651252,6.085162,7.214958,38
'West End, Foggy Bottom, GWU',38.89279,-77.06791,'Entire home/apt',278,4,2,31,0.24,54,0.271947,3.232151,1.920886,70
'Georgetown, Burleith/Hillandale',38.89208,-77.06892,'Entire home/apt',334,32,2,5,0.24,48,0.289492,3.216895,1.992096,68
'Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir',38.88856,-77.07954,'Entire home/apt',348,5,2,157,0.24,36,0.417754,3.353662,2.600278,106
'Colonial Village, Shepherd Park, North Portal Estates',38.99247,-77.02126,'Private room',311,6,3,46,0.24,38,0.527366,9.724629,5.941735,35
'Capitol Hill, Lincoln Park',38.88442,-77.00491,'Entire home/apt',0,18,0,1,0.18,2265,0.046519,2.827171,2.311977,120
'Brightwood Park, Crestwood, Petworth',38.93788,-77.02313,'Private room',168,16,4,46,0.18,64,0.034978,5.968961,2.23919,39
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.96971,-77.00793,'Private room',43,18,2,2,0.18,2180,0.699023,8.267023,4.578328,26
'Brightwood Park, Crestwood, Petworth',38.94306,-77.04405,'Private room',105,22,0,5,0.18,2623,0.936642,6.285265,2.50319,59
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93605,-77.04289,'Entire home/apt',2,16,3,2,0.18,411,0.787738,5.799085,2.015806,60
'Takoma, Brightwood, Manor Park',38.96696,-77.0249,'Private room',215,18,2,5,0.18,54,0.723486,7.954309,4.1722,65
'Colonial Village, Shepherd Park, North Portal Estates',38.9826,-77.04024,'Private room',358,18,0,3,0.18,86,0.923516,9.005509,5.205611,300
'Dupont Circle, Connecticut Avenue/K Street',38.908,-77.04631,'Entire home/apt',0,14,3,1,0.18,65,0.18919,3.884019,0.501776,102
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90253,-77.02312,'Entire home/apt',92,14,3,17,0.18,954,0.277535,3.564405,0.798266,440
'Howard University, Le Droit Park, Cardozo/Shaw',38.9188,-77.01959,'Private room',0,13,0,1,0.18,37,0.386889,4.701291,1.217505,65
'Friendship Heights, American University Park, Tenleytown',38.95273,-77.09398,'Entire home/apt',354,9,1,1,0.18,82,0.666549,7.55712,4.361369,300
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91937,-77.01349,'Private room',247,12,2,46,0.18,38,0.603527,4.815677,1.498185,36
'Woodridge, Fort Lincoln, Gateway',38.93061,-76.9635,'Private room',0,10,0,1,0.18,956,1.654757,6.69403,4.212222,39
'Union Station, Stanton Park, Kingman Park',38.89747,-76.98153,'Private room',0,10,0,1,0.18,52,0.778369,4.319937,3.010427,39
'Shaw, Logan Circle',38.9069,-77.03223,'Entire home/apt',0,9,0,1,0.18,79,0.390776,3.792285,0.248374,90
'Near Southeast, Navy Yard',38.87722,-76.98952,'Shared room',349,9,4,33,0.18,55,0.351543,3.0861,3.253462,29
'Union Station, Stanton Park, Kingman Park',38.89571,-76.99019,'Entire home/apt',0,7,0,4,0.18,43,0.824268,3.923557,2.599479,149
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90668,-76.93324,'Private room',197,8,3,5,0.18,141,0.149175,6.695719,5.494097,68
'Shaw, Logan Circle',38.90783,-77.02462,'Entire home/apt',272,6,3,157,0.18,164,0.172238,3.907331,0.65229,91
'Shaw, Logan Circle',38.90639,-77.02508,'Entire home/apt',314,6,2,157,0.18,44,0.167699,3.805227,0.628948,109
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90381,-77.01682,'Entire home/apt',100,7,2,157,0.18,205,0.325597,3.735619,1.089642,143
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.90171,-77.02683,'Entire home/apt',187,7,2,1,0.18,49,0.242965,3.471205,0.654479,250
'Dupont Circle, Connecticut Avenue/K Street',38.90526,-77.04523,'Private room',326,2,2,14,0.18,184,0.314889,3.689704,0.461337,562
'Brightwood Park, Crestwood, Petworth',38.95176,-77.0163,'Entire home/apt',319,7,0,1,0.18,258,0.747044,6.969423,3.262735,65
'Shaw, Logan Circle',38.91094,-77.02664,'Entire home/apt',347,3,2,157,0.18,49,0.305889,4.102036,0.601907,124
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91943,-77.03846,'Entire home/apt',288,6,3,33,0.18,38,0.604493,4.645946,0.847911,70
'North Michigan Park, Michigan Park, University Heights',38.95,-76.98727,'Entire home/apt',0,6,0,3,0.18,81,0.801851,7.264594,3.954787,110
'West End, Foggy Bottom, GWU',38.90066,-77.05641,'Entire home/apt',340,5,1,157,0.18,66,0.324904,3.494343,1.128208,91
'West End, Foggy Bottom, GWU',38.89925,-77.05477,'Entire home/apt',107,4,1,157,0.18,2833,0.2583,3.376844,1.094497,191
'West End, Foggy Bottom, GWU',38.90119,-77.05628,'Entire home/apt',0,5,1,157,0.18,49,0.319749,3.527495,1.107693,103
'Capitol Hill, Lincoln Park',38.87919,-76.98422,'Entire home/apt',349,4,2,157,0.18,1098,0.158757,3.395158,3.3957,80
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91572,-77.00774,'Entire home/apt',0,5,0,1,0.18,44,0.650028,4.668086,1.653515,46
'Capitol Hill, Lincoln Park',38.88995,-77.00206,'Entire home/apt',88,4,1,1,0.18,68,0.374225,3.223063,2.196891,64
'Howard University, Le Droit Park, Cardozo/Shaw',38.91471,-77.0287,'Entire home/apt',319,2,2,156,0.18,107,0.171018,4.346327,0.676312,106
'Howard University, Le Droit Park, Cardozo/Shaw',38.91487,-77.02887,'Entire home/apt',317,3,2,156,0.18,37,0.164601,4.356323,0.679125,127
'Capitol View, Marshall Heights, Benning Heights',38.89143,-76.93098,'Private room',78,3,0,1,0.18,46,0.392728,6.273348,5.718245,50
'Union Station, Stanton Park, Kingman Park',38.89762,-77.00879,'Private room',89,1,1,8,0.18,87,0.073562,3.49462,1.62989,452
'Near Southeast, Navy Yard',38.87881,-77.00773,'Entire home/apt',287,1,1,235,0.18,52,0.212759,2.432914,2.495475,157
'Dupont Circle, Connecticut Avenue/K Street',38.91229,-77.04245,'Entire home/apt',158,1,1,156,0.18,38,0.192162,4.160743,0.458119,175
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92286,-77.03597,'Entire home/apt',330,1,1,1,0.18,2852,0.38874,4.883298,1.081664,100
'Union Station, Stanton Park, Kingman Park',38.890118,-76.972611,'Private room',365,1,1,4,0.18,63,0.333854,4.333693,3.605424,115
'Colonial Village, Shepherd Park, North Portal Estates',38.99455,-77.05739,'Entire home/apt',177,10,0,1,0.18,89,1.398202,9.884311,6.124203,125
'Hawthorne, Barnaby Woods, Chevy Chase',38.980298,-77.092644,'Entire home/apt',248,1,1,235,0.18,55,0.293917,9.312705,5.845356,144
'Colonial Village, Shepherd Park, North Portal Estates',38.99847,-77.0187,'Entire home/apt',212,5,2,1,0.18,39,0.723412,10.149593,6.371075,69
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.92213,-76.91691,'Entire home/apt',298,21,0,1,0.18,66,0.379124,8.020649,6.442368,92
'Georgetown, Burleith/Hillandale',38.89242,-77.06993,'Entire home/apt',316,1,1,31,0.18,41,0.251546,3.264724,2.025981,57
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.9356,-77.04468,'Entire home/apt',0,34,4,1,0.3,73,0.710643,5.773375,2.002513,350
'Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill',38.96691,-77.0044,'Private room',256,39,4,2,0.3,101,0.96655,8.116074,4.465571,58
'Union Station, Stanton Park, Kingman Park',38.8942,-76.97563,'Entire home/apt',0,25,0,1,0.3,500,0.522111,4.388575,3.368921,67
'Capitol Hill, Lincoln Park',38.89068,-77.00155,'Entire home/apt',365,25,1,19,0.3,50,0.431348,3.279726,2.193061,166
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92937,-77.02979,'Entire home/apt',317,25,4,8,0.3,39,0.180354,5.348074,1.57546,83
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91458,-77.00711,'Entire home/apt',0,23,2,1,0.3,38,0.564577,4.605839,1.658956,150
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',362,17,7,29,0.3,81,0.102028,3.308033,0.540986,364
'Dupont Circle, Connecticut Avenue/K Street',38.91172,-77.04573,'Private room',270,16,1,12,0.3,43,0.190558,4.135752,0.562391,200
'Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace',38.92311,-77.05778,'Entire home/apt',0,14,0,1,0.3,43,0.315297,5.013971,1.55878,100
'Dupont Circle, Connecticut Avenue/K Street',38.90533,-77.03521,'Entire home/apt',0,12,0,1,0.3,416,0.279485,3.675234,0.157072,99
'Capitol Hill, Lincoln Park',38.88249,-76.99827,'Entire home/apt',0,10,0,1,0.3,60,0.190357,2.960336,2.664357,150
'West End, Foggy Bottom, GWU',38.90139,-77.05648,'Entire home/apt',5,1,1,157,0.3,60,0.331973,3.543711,1.112482,103
'Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights',38.90698,-76.93635,'Entire home/apt',1,8,0,2,0.3,107,0.101347,6.571993,5.329172,89
'River Terrace, Benning, Greenway, Dupont Park',38.89617,-76.95673,'Private room',175,7,3,2,0.3,67,0.568735,5.259418,4.316632,95
'Dupont Circle, Connecticut Avenue/K Street',38.91524,-77.0423,'Entire home/apt',277,5,3,5,0.3,49,0.393235,4.363485,0.624235,112
'Howard University, Le Droit Park, Cardozo/Shaw',38.91943,-77.01547,'Private room',189,5,4,46,0.3,89,0.533789,4.7928,1.414968,28
'Dupont Circle, Connecticut Avenue/K Street',38.91244,-77.04229,'Entire home/apt',330,1,1,96,0.3,122,0.20447,4.17057,0.460796,104
'Union Station, Stanton Park, Kingman Park',38.90222,-76.9988,'Entire home/apt',0,3,3,16,0.3,40,0.399956,4.026121,2.048328,95
'Friendship Heights, American University Park, Tenleytown',38.94492,-77.09234,'Entire home/apt',270,54,2,1,0.46,48,0.728384,7.028934,3.92526,100
'West End, Foggy Bottom, GWU',38.89881,-77.05269,'Entire home/apt',117,43,0,1,0.46,49,0.182827,3.319503,1.017589,75
'Dupont Circle, Connecticut Avenue/K Street',38.90968,-77.03692,'Entire home/apt',0,44,0,1,0.46,138,0.34436,3.973233,0.171123,99
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93053,-77.03008,'Entire home/apt',220,36,7,8,0.46,45,0.226941,5.426707,1.649852,102
'Dupont Circle, Connecticut Avenue/K Street',38.91481,-77.04291,'Entire home/apt',314,39,9,9,0.46,557,0.360089,4.335802,0.614151,85
'River Terrace, Benning, Greenway, Dupont Park',38.89019,-76.93841,'Entire home/apt',2,33,13,1,0.46,2256,0.054796,5.882036,5.350293,85
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.9119,-77.01638,'Entire home/apt',106,27,3,12,0.46,143,0.31302,4.278081,1.134882,125
'West End, Foggy Bottom, GWU',38.90089,-77.0506,'Entire home/apt',89,25,0,1,0.46,45,0.021193,3.435266,0.846632,157
'Dupont Circle, Connecticut Avenue/K Street',38.91323,-77.04696,'Entire home/apt',266,21,7,32,0.46,313,0.312732,4.246445,0.67631,200
'Georgetown, Burleith/Hillandale',38.91191,-77.05395,'Entire home/apt',299,2,2,1,0.46,38,0.580465,4.215833,0.960313,119
'Capitol Hill, Lincoln Park',38.89109,-77.00218,'Entire home/apt',0,11,1,1,0.46,323,0.444032,3.283474,2.149842,99
'Capitol Hill, Lincoln Park',38.88683,-76.99496,'Entire home/apt',78,10,9,10,0.46,44,0.161556,3.297437,2.629913,132
'Edgewood, Bloomingdale, Truxton Circle, Eckington',38.91714,-77.00559,'Entire home/apt',0,10,3,3,0.46,44,0.578847,4.799549,1.795581,200
'Dupont Circle, Connecticut Avenue/K Street',38.91516,-77.04405,'Entire home/apt',288,9,6,156,0.46,35,0.384704,4.364149,0.667284,115
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.033127,'Entire home/apt',363,3,3,6,0.46,-1,0.10207,3.308045,0.541044,426
'Dupont Circle, Connecticut Avenue/K Street',38.91444,-77.03685,'Entire home/apt',85,4,4,5,0.46,1173,0.482065,4.301694,0.499567,95
'Ivy City, Arboretum, Trinidad, Carver Langston',38.908046,-76.984229,'Private room',347,1,1,1,0.46,69,0.998588,4.788775,2.7922,51
'Takoma, Brightwood, Manor Park',38.98039,-77.01945,'Entire home/apt',275,42,0,1,0.46,-1,0.304498,8.904681,5.134098,150
'Colonial Village, Shepherd Park, North Portal Estates',38.99881,-77.02538,'Private room',143,22,3,7,0.46,56,0.448863,10.144017,6.350509,42
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.93664,-77.02298,'Private room',348,14,2,46,0.13,199,0.061003,5.885178,2.161183,35
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.899914,-77.03313,'Entire home/apt',362,14,0,13,0.13,199,0.102028,3.308033,0.540986,364
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92098,-77.03805,'Entire home/apt',0,13,6,1,0.13,951,0.556114,4.752757,0.952772,95
'Howard University, Le Droit Park, Cardozo/Shaw',38.91763,-77.01569,'Private room',278,11,0,46,0.13,53,0.436609,4.669584,1.334763,37
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89721,-77.01883,'Entire home/apt',83,10,2,17,0.13,38,0.13908,3.269269,1.179982,436
'Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street',38.89691,-77.01687,'Entire home/apt',82,10,0,17,0.13,48,0.057318,3.283021,1.27714,445
'Capitol Hill, Lincoln Park',38.88287,-77.00486,'Entire home/apt',365,10,2,1,0.13,38,0.152552,2.745275,2.387861,150
'Union Station, Stanton Park, Kingman Park',38.89733,-77.00083,'Private room',0,8,0,1,0.13,1092,0.350429,3.682086,2.029393,72
'Dupont Circle, Connecticut Avenue/K Street',38.90678,-77.03665,'Entire home/apt',0,9,0,1,0.13,779,0.29474,3.773328,0.031865,133
'Colonial Village, Shepherd Park, North Portal Estates',38.98716,-77.03631,'Private room',178,8,3,2,0.13,240,0.546415,9.31943,5.517329,75
'Dupont Circle, Connecticut Avenue/K Street',38.90308,-77.0486,'Entire home/apt',0,9,0,1,0.13,44,0.186455,3.564768,0.682158,60
'Brightwood Park, Crestwood, Petworth',38.95558,-77.02592,'Entire home/apt',58,2,0,1,0.13,42,1.258249,7.167351,3.388564,90
'West End, Foggy Bottom, GWU',38.90753,-77.05238,'Entire home/apt',0,8,0,1,0.13,118,0.483845,3.903037,0.820756,99
'Takoma, Brightwood, Manor Park',38.98246,-77.02436,'Private room',256,1,1,1,0.13,160,0.548386,9.022572,5.235298,54
'West End, Foggy Bottom, GWU',38.89726,-77.04601,'Entire home/apt',120,6,1,5,0.13,80,0.328248,3.147034,0.838766,80
'Takoma, Brightwood, Manor Park',38.96448,-77.01987,'Entire home/apt',0,7,0,1,0.13,68,0.805836,7.81157,4.054072,115
'Capitol Hill, Lincoln Park',38.87855,-76.9897,'Shared room',79,6,4,33,0.13,207,0.291305,3.130804,3.188407,29
'Ivy City, Arboretum, Trinidad, Carver Langston',38.90458,-76.98716,'Entire home/apt',179,7,1,1,0.13,38,0.857471,4.504072,2.642411,112
'Union Station, Stanton Park, Kingman Park',38.89374,-76.98732,'Entire home/apt',0,7,3,3,0.13,1232,0.727142,3.922225,2.787037,95
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92594,-77.0335,'Entire home/apt',365,6,3,2,0.13,75,0.140724,5.099813,1.305556,225
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92522,-77.03236,'Entire home/apt',0,6,0,1,0.13,206,0.18147,5.053203,1.266449,65
'Dupont Circle, Connecticut Avenue/K Street',38.91518,-77.03684,'Entire home/apt',66,6,4,1,0.13,1433,0.510967,4.352757,0.550629,150
'Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont',38.86979,-76.98505,'Private room',0,6,0,7,0.13,38,0.721614,3.045589,3.770257,20
'Kalorama Heights, Adams Morgan, Lanier Heights',38.92271,-77.04603,'Entire home/apt',255,5,1,2,0.13,74,0.376488,4.892067,1.174503,158
'Near Southeast, Navy Yard',38.87619,-77.00464,'Entire home/apt',326,5,2,157,0.13,525,0.031446,2.415061,2.738909,105
'Takoma, Brightwood, Manor Park',38.97172,-77.0252,'Entire home/apt',0,5,0,1,0.13,176,0.478786,8.280313,4.494859,80
'Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View',38.92424,-77.02841,'Entire home/apt',365,5,0,1,0.13,2730,0.331885,5.001937,1.258922,379
'Kalorama Heights, Adams Morgan, Lanier Heights',38.91368,-77.04746,'Entire home/apt',272,4,1,157,0.13,-1,0.353482,4.280411,0.71635,102
'Dupont Circle, Connecticut Avenue/K Street',38.9136,-77.0469,'Entire home/apt',335,3,2,157,0.13,103,0.331718,4.27144,0.689863,115
'Near Southeast, Navy Yard',38.87753,-77.00038,'Entire home/apt',179,5,0,1,0.13,50,0.259656,2.643967,2.817365,200
'Shaw, Logan Circle',38.91081,-77.0251,'Entire home/apt',269,2,1,157,0.13,116,0.250145,4.105638,0.67318,118
