@relation 'chicago_listings - cleaned-weka.filters.unsupervised.attribute.Remove-R1-3'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Private room',188,2.04,1,57,9,192,8.518936,0.774828,3.738534,88
'Entire home/apt',5,0.07,1,95,0,433,10.076729,0.494724,3.989039,150
'Entire home/apt',0,NA,1,357,0,-1,8.549569,0.40213,2.344373,5000
'Private room',170,1.96,2,32,53,37,9.096286,0.381627,3.265539,57
'Private room',234,2.55,2,196,44,38,9.080004,0.396461,3.269912,55
'Entire home/apt',393,4.36,3,124,50,49,8.249468,0.313182,3.229153,159
'Entire home/apt',73,0.8,3,340,0,588,8.203016,0.404689,2.915778,179
'Entire home/apt',194,2.15,1,293,34,43,8.615789,0.895965,3.815057,170
'Entire home/apt',53,0.7,1,20,17,60,6.745282,0.058097,2.531294,129
'Private room',155,1.68,3,12,0,1575,6.624967,0.106128,2.668675,25
'Private room',208,2.28,3,174,25,40,8.467306,0.618739,5.7534,74
'Entire home/apt',33,0.38,1,279,0,642,7.691172,0.442948,1.716201,104
'Private room',52,0.57,3,55,4,80,9.411926,0.096474,3.320469,159
'Entire home/apt',101,1.12,1,61,19,52,8.916456,0.559417,2.308473,216
'Entire home/apt',194,2.15,1,348,45,38,10.041068,0.132592,5.45482,178
'Private room',102,1.12,7,364,0,443,9.968045,0.270048,8.436262,60
'Entire home/apt',207,2.35,2,124,45,52,10.512693,0.406644,3.389399,279
'Entire home/apt',197,2.16,2,124,35,51,10.48667,0.342549,3.455031,240
'Entire home/apt',97,1.07,1,230,23,50,8.848586,0.501461,2.66437,246
'Private room',59,0.66,7,365,3,144,9.984347,0.33104,8.547499,26
'Private room',35,0.42,7,268,3,206,9.968313,0.337353,8.56852,23
'Entire home/apt',38,0.42,1,0,0,976,9.963412,0.292716,5.640919,500
'Private room',173,1.94,1,337,28,45,13.426196,0.043395,6.494045,92
'Entire home/apt',18,0.21,9,292,7,66,11.1602,0.59005,3.125038,165
'Private room',21,0.25,8,79,3,48,5.466949,0.177008,4.122033,50
'Private room',20,0.24,8,56,2,129,5.563561,0.151008,4.089485,55
'Private room',19,0.25,8,69,5,45,5.609167,0.061442,4.008698,50
'Private room',13,0.17,8,67,2,142,5.4729,0.177143,4.127626,75
'Private room',15,0.18,8,75,2,53,5.608518,0.069431,4.013989,96
'Entire home/apt',116,1.29,1,53,9,41,12.441942,0.289759,6.897536,99
'Entire home/apt',84,0.93,2,14,17,48,8.887005,0.518623,2.886243,225
'Private room',179,1.99,1,51,15,43,10.52995,0.132277,3.064322,54
'Private room',28,0.32,1,342,4,134,7.864758,0.353175,4.493928,153
'Entire home/apt',457,5.04,1,326,64,40,6.481737,0.293542,5.005582,92
'Entire home/apt',161,1.82,2,292,32,54,7.362245,0.129895,4.301564,73
'Entire home/apt',31,0.39,3,6,0,1095,8.123347,0.313239,2.983002,214
'Private room',267,2.96,1,331,45,38,11.757557,0.309607,4.530657,95
'Entire home/apt',0,NA,68,365,0,-1,9.174112,0.08423,0.918428,185
'Private room',54,0.6,2,317,1,110,9.421548,0.921178,7.240032,35
'Private room',27,0.3,3,331,2,59,9.415443,0.134688,3.276202,159
'Entire home/apt',127,1.65,1,326,33,39,5.177349,0.286067,4.159673,52
'Private room',277,3.08,1,325,16,94,7.990156,0.380994,2.895284,86
'Entire home/apt',3,0.03,68,365,0,2648,8.846727,0.207957,0.476519,200
'Shared room',166,1.86,17,157,8,66,12.129548,0.80267,10.064328,27
'Entire home/apt',25,0.29,22,336,14,79,11.691754,0.421767,5.504107,272
'Private room',6,0.07,11,193,1,57,12.945355,0.477893,6.793031,313
'Private room',20,0.22,11,211,0,444,12.952291,0.447413,6.740955,408
'Entire home/apt',314,3.54,1,309,64,44,11.839243,0.032467,4.394255,129
'Private room',409,4.56,1,253,40,39,11.785156,0.539449,5.684322,62
'Entire home/apt',12,0.13,9,347,3,61,8.672237,0.07811,8.563924,127
'Entire home/apt',46,0.51,1,90,2,360,9.176349,0.2178,1.05217,279
'Entire home/apt',32,0.41,22,358,6,80,11.366413,0.544012,5.154195,301
'Private room',59,0.69,1,0,0,1093,13.333941,0.128528,8.24318,90
'Private room',153,1.72,1,0,0,1095,10.584636,0.296112,6.458672,85
'Entire home/apt',75,0.96,1,0,0,947,8.833252,0.532433,2.192698,298
'Entire home/apt',279,3.13,2,344,48,44,8.810598,1.154882,4.920359,67
'Private room',18,0.21,1,0,0,1312,9.315676,0.557964,4.666899,129
'Private room',21,0.28,3,264,4,59,6.43845,1.474883,10.109268,125
'Entire home/apt',189,2.19,1,313,8,44,11.434002,0.190608,7.207084,88
'Entire home/apt',42,0.47,9,163,5,172,7.376282,0.322624,16.430778,99
'Private room',143,1.64,1,245,29,37,11.804989,0.470662,5.646648,79
