@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute neighbourhood_group {NA}
@attribute latitude numeric
@attribute longitude numeric
@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month string
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
NA,41.94663,-87.70783,'Entire home/apt',274,2.97,7,298,15,58,10.978467,0.572498,6.364802,99
NA,41.93564,-87.6424,'Entire home/apt',0,NA,1,97,0,-1,11.945056,0.597364,4.029423,100
NA,41.85487,-87.62024,'Entire home/apt',14,0.14,68,348,0,2195,8.640286,0.249896,1.68572,200
NA,41.92118,-87.68678,'Private room',251,2.36,2,68,32,58,9.991999,0.321234,4.302891,90
NA,41.89821,-87.6572,'Entire home/apt',181,1.71,2,342,23,54,9.325626,0.16395,2.040476,265
NA,41.93338,-87.63913,'Private room',137,1.35,1,316,0,984,11.902312,0.767325,3.848187,75
NA,41.88849,-87.70648,'Entire home/apt',508,4.81,7,337,44,64,7.503233,0.016629,4.247664,88
NA,41.84828,-87.68021,'Private room',167,1.62,3,330,18,38,5.831368,0.442588,3.436461,96
NA,41.80239,-87.60244,'Private room',43,0.42,15,222,15,51,8.26572,0.791421,5.433385,48
NA,41.94594,-87.65431,'Private room',60,0.59,5,108,4,115,12.266913,0.090182,4.8685,312
NA,41.94594,-87.65431,'Shared room',388,4.11,5,106,58,38,12.266913,0.090182,4.8685,64
NA,41.90798,-87.68158,'Entire home/apt',167,1.6,2,0,6,60,9.262497,0.242528,3.499097,148
NA,41.89634,-87.65608,'Entire home/apt',442,4.27,19,328,35,53,9.253399,0.026993,1.908632,318
NA,41.94272,-87.68409,'Entire home/apt',93,0.92,2,231,12,49,11.438935,0.583445,5.354195,226
NA,41.96703,-87.75087,'Private room',67,0.66,1,87,0,1977,8.442409,0.500424,9.019438,325
NA,41.88209,-87.65127,'Entire home/apt',57,0.58,1,43,16,43,8.628532,0.237089,1.204157,168
NA,41.96316,-87.69208,'Entire home/apt',226,2.21,1,72,28,38,11.663271,0.234161,6.783076,86
NA,41.90006,-87.68096,'Entire home/apt',171,1.65,2,163,15,42,8.783868,0.699836,3.177842,179
NA,41.88152,-87.69768,'Private room',154,1.55,3,257,21,37,7.236575,0.181625,3.713753,43
NA,41.79606,-87.62382,'Private room',97,0.95,1,353,13,59,7.05487,0.309747,5.670169,87
NA,41.85669,-87.65132,'Private room',245,2.38,1,89,13,142,7.365634,0.34843,1.887589,65
NA,41.85295,-87.70686,'Private room',7,0.08,4,179,0,401,5.24636,0.114907,4.551296,45
NA,41.85226,-87.62299,'Entire home/apt',16,0.16,68,318,0,1600,8.41611,0.188771,1.821318,120
NA,41.79077,-87.58937,'Entire home/apt',103,1.04,1,0,0,976,8.907687,0.096986,6.417388,125
